상호명,행정동명,법정동명,도로명주소,위도,경도
달달커피,앙성면,앙성면,충청북도 충주시 앙성면 가곡로 1512,37.089603109785,127.800749883586
바나프레소 충주호암점,호암.직동,호암동,충청북도 충주시 호암수청2로 29,36.9566227326472,127.925117381293
컴포즈커피 충주연수예성로점,연수동,연수동,충청북도 충주시 예성로 398,36.991808905787,127.934316266578
베이커리카페일월,교현.안림동,종민동,충청북도 충주시 충주호수로 608,37.0105172961984,127.980892053311
메가엠지씨커피충주호암신도시점,호암.직동,호암동,충청북도 충주시 호암수청2로 21,36.9565204740559,127.924363889541
하이오커피 충주칠금점,칠금.금릉동,칠금동,충청북도 충주시 번영대로 36,36.9870267189559,127.921329553363
메가엠지씨커피 서충주삼일파라뷰점,주덕읍,주덕읍,충청북도 충주시 주덕읍 화개2길 3,37.0037616291967,127.81768937466
충주호암DT,호암.직동,호암동,충청북도 충주시 중원대로 3245,36.9590038239952,127.923664084758
하루커피,연수동,연수동,충청북도 충주시 예성로 328,36.9855235350833,127.933812576176
충주시청DT,칠금.금릉동,금릉동,충청북도 충주시 국원대로 208-1,36.9902396350032,127.928759382698
카페우리,엄정면,엄정면,충청북도 충주시 엄정면 미내장터길 6,37.085855589876,127.91521404933
봉나루베이커리,엄정면,엄정면,충청북도 충주시 엄정면 구룡로 463,37.0770973143798,127.885566930994
이브다방,주덕읍,주덕읍,충청북도 충주시 주덕읍 쌀전길 6,36.9736479564873,127.799207697607
메가엠지씨커피 충주모닝마트호암점,호암.직동,호암동,충청북도 충주시 호암대로 123,36.9580092401086,127.939034288069
해온,교현.안림동,교현동,충청북도 충주시 남산9길 15,36.9659592247129,127.944375898269
그냥커피한잔,연수동,연수동,충청북도 충주시 예성로 320,36.9850098085429,127.933828760401
우지커피충주체육관,연수동,연수동,충청북도 충주시 예성로 299,36.9829180681472,127.933994129616
퀵커피,칠금.금릉동,금릉동,충청북도 충주시 으뜸로 7-1,36.9899383705373,127.924644590691
화다커피,산척면,산척면,충청북도 충주시 산척면 동산로 718,37.0807664690295,127.957224055835
카페인중독충주연수점,연수동,연수동,충청북도 충주시 갱고개로 226-2,36.9912022966037,127.939251264564
메가엠지씨커피충주모아미래도점,봉방동,봉방동,충청북도 충주시 삼원로 28,36.9710983089826,127.916387301774
